id,text,offensive_aggregated,offense_a1,offense_a2,offense_a3,offense_a4
1572,NIEUW! at zich uit over fases Club Brugge-Anderlecht – URL,NOT,NOT,NOT,NOT,NOT
1573,"Vanaf vandaag zijn onze nieuwe motoren inzetbaar @USER 6 nieuwe betrouwbare BMW’s @USER die aan alle eisen voldoen om veilig ingezet te kunnen worden bij Infrawerkzaamheden, evenementen, en Stedelijke Incident Management. @USER @USER #trots URL",NOT,NOT,NOT,NOT,NOT
1574,@USER @USER @USER Je geeft ook heel vreemde reacties die totaal niet bij het onderwerp horen.,OFF,NOT,NOT,OFF,OFF
1575,Die Trump heeft helemaal gelijk wat moet jij met dat zooitje hier in het westen . Jij mag dan als een Boerenpummel overkomen maar ik mag die vent wel . Straight to the point ! Daar kan onze lands idioot nog wel wat van leren !!!#Op1,OFF,OFF,OFF,OFF,OFF
1576,"MACRON, WEG IS EEN ROTTE BANK WEG 1. VAN DE WERELD JODEN BANKEN WIJ STEUNEN FRANKRIJK URL",OFF,OFF,OFF,OFF,OFF
1577,"@USER Inderdaad, dieren/insecten kunnen heel goed leven zonder mensen, andersom niet. Weg met die azijnpissers",OFF,,,,
1578,"@USER @USER Aardig fascistisch 'wij en onze boreale wereld' worden 'kapotgemaakt en ondermijnd' door 'onze universiteiten, onze journalisten, door de mensen die onze kunstsubsidies ontvangen en die onze gebouwen ontwerpen'.",OFF,,,,
1579,"Correctie op zijn plaats. Ik ben géén Nederlandse, ben Amerikaanse. Mijn Nederlandse paspoort is allang verlopen, en ik heb in 2017 de Amerikaanse nationaliteit aangenomen, en mag hier ook stemmen. Verder is er geen sprake van een vete, naar ze blijft dit kennelijk graag zeggen. URL",NOT,NOT,NOT,NOT,NOT
1580,"Gewoon goed verdienen. Dat willen we toch allemaal? Dat kan met een Winstgevend Plan, waaraan je kunt zien of je voldoende geld kunt verdienen met jouw ideeën. Want met een goed plan is de eerste stap naar een goed resultaat! URL",NOT,NOT,NOT,NOT,NOT
1581,@USER @USER heb net t filmpje gezien en tis zo sneu gewoon dat mensen die beweren hem te supporten hem zo behandelen,NOT,NOT,NOT,NOT,NOT
1582,Mooie onderzoeksjournalistiek van @USER heroïneproductie #ziekenhuizen - is winst naar onderzoek gegaan? Relevante vraag. #nrc,NOT,NOT,NOT,NOT,NOT
1583,"@USER mot die eikel maar niet rellen , andere oog mag ook nog",OFF,,,,
1584,@USER Gedeeld op Twitter en ook op FB Noord Nederland,NOT,NOT,NOT,NOT,NOT
1585,"@USER Maar geen revolutien vandaag, jammer he. Hoeveel rechten denk jij te hebben onder sharia wetgeving? Begrijp je wel wat ze met jou gaan doen?",NOT,NOT,NOT,NOT,OFF
1586,@USER Netanyahu cs kopiëren Hitler op een andere schaal. De onmenselijkheid is gelijk!,OFF,,,,
1587,"@USER Er is een reden waarom blanken superieur waren, en dat gaan we nogmaals bewijzen. Terroristen zoals jij komen terecht in guatanama bay, wen maar vast aan de gedachte.",OFF,,,,
1588,#Feenyks is een maatschappelijke en #spirituele hulp- en #advieslijn voor mensen die antwoorden zoeken en inzichten willen met betrekking tot hun #levensvragen en #problemen. URL,NOT,NOT,NOT,NOT,NOT
1589,"@USER Dees is een schoon einde aan het schooljaar se, ik heb als klasverantwoordelijke een heel jaar mijn best gedaan om mensen uit ongemakkelijkheden te houden en af en toe ook actie genomen. Dat doet goed om dit te zien.",NOT,NOT,NOT,NOT,NOT
1590,Vorige week nog gefotografeerd. Van Heulen en Beukman moeten worden verwijderd. Even aan denken op 4 mei. URL,NOT,NOT,NOT,NOT,OFF
1591,"sorry dat ik mijn huiswerk niet af heb , een baby had een koekje gekust",NOT,NOT,NOT,NOT,NOT
1592,Een op drie Antwerpse jongeren is schoolverlater #Antwerpen URL,NOT,NOT,NOT,NOT,NOT
1593,@USER @USER @USER De tv-sekte alweer aan het Eeuwige Woord....#klihaatpredikers,OFF,OFF,NOT,OFF,OFF
1594,"DIE MARK VALT NIET OP VROUWEN DAT ZIET MIJN BLINDE BUURVROUW EN HIJ IS OOK NIET RUIG , OPTIE 3 dus !",OFF,,,,
1595,"@USER Ja, dat zal het zijn. #KlimaatWappie",OFF,OFF,OFF,OFF,OFF
1596,Ik wacht nog steeds hoopvol op die ene maandag waarop mijn leerkracht onderwijskunde zijn vliegtuig naar Belgi\u00eb mist...,NOT,NOT,NOT,NOT,NOT
1597,"Waarom denken mensen dat ik een ""troll account"" ben??????????",NOT,NOT,NOT,NOT,OFF
1598,"@USER @USER @USER @USER @USER zeg pleurt jij eens fff lekker op naar je debiele incestmoeder, en je spaschtische inceatueuze stiefvader , achterlijk Truus ga afwassen, dan heb je een aanrecht, frauw straus met je opsoute, paat klappe op je dikke muil laat je wel opsoute dikke spekreet. :middle_finger: :rat: ",OFF,,,,
1599,Dan plaatst @USER een artikel specifiek of je met 3 pers in 1 auto mag. Melden ze niet dat een volwassene met meerdere kinderen (tm 12 jaar) ook is toegestaan. Info klopt vaak half. Mag je vanaf 1 juni weer met 3 mensen of meer in de auto zitten? URL,NOT,NOT,NOT,NOT,OFF
1600,Ga ze zelf helpen.. :face_with_raised_eyebrow: ,NOT,NOT,NOT,NOT,NOT
1601,Ik heb twee nieuwe collega’s yayyyyyy,NOT,NOT,NOT,NOT,NOT
1602,"@USER @USER Ik kan gelukkig ook zonder,als hij kapot gaat of oud wordt en traag gaat gebruik of koop ik niets meer,heb nog een huistelefoon. Ik neem hem ook bijna nooit mee als ik weg ga,wil niet afhankelijk zijn van dit soort apparatuur.",NOT,NOT,NOT,NOT,NOT
1603,Geef aan mensen zoals die Dries vanlangezijnmoeder geen aandacht aub. They don't deserve it.,OFF,,,,
1604,"Nieuw op Twitter, ben benieuwd!",NOT,NOT,NOT,NOT,NOT
1605,@USER @USER Je laat zien welk een slap en laf weekdiertje je bent.,OFF,,,,
1606,@USER @USER Alleen niet gaan vanwege reisadvies? Wat een laffe \u20ac mafklappers zeg! Je geld naar dictator #Erdogan brengen CorenDom,OFF,,,,
1607,@USER De PvdA avond is misselijkmakend allemaal maar napraten,OFF,OFF,OFF,OFF,OFF
1608,@USER Ik ruim u kamer toch altijd op dus jaaa :loudly_crying_face: :loudly_crying_face: :loudly_crying_face: ,NOT,NOT,NOT,NOT,NOT
1609,Geen terroristenvereerder in het nieuwe kabinet URL,NOT,NOT,OFF,NOT,NOT
1610,"Ik begrijp het 'je kunt niet om mij heen' gedrag Jesse Klaver niet zo goed, GroenLinks is 6e partij van NL #tk17 #winstnaforsverlies",OFF,OFF,NOT,NOT,OFF
1611,"@USER @USER Ik stel toch voor dat je er één draagt, de wereld zou er zoveel mooier uitzien",NOT,NOT,NOT,NOT,NOT
1612,#blog #add #adhd 16/11/2018 – Workshop voor leerkrachten en hulpverleners: Omgaan met moeilijk gedrag van kinderen met ADHD (Antwerpen) URL,NOT,NOT,NOT,NOT,NOT
1613,"@USER @USER Zo moeten ze elke week zijn, confronteren die politici die maar rondstrooien met ons geld. #DumpMarkRutte",NOT,NOT,NOT,NOT,OFF
1614,Baas van #denk Erdogan noemt Duitsland geen democratie maar nazi's :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: Wat een slechte komiek URL,OFF,NOT,NOT,OFF,OFF
1615,En wat zegt deze (overigens misleidende) grafiek nu precies over politiegeweld? Een moord proberen goed praten door volkomen naast de kwestie te spreken? Enorm laag,OFF,NOT,NOT,OFF,OFF
1616,@USER Donder toch op man,OFF,,,,
1617,Nu er maar €161 over is willen de Twins pas het geld aan de BV teruggeven!#echtTwins#UtopiaNL,NOT,NOT,NOT,NOT,OFF
1618,"Elke avond #Corona, Corona, Corona bij #beau. Vooral slachterijen of nerstenhouderijen worden eraan genaaid. Nu loopt heel Amsterdam vol mensen die alle regels aan hun laars lappen. En ik hoor niks over Corona. Waardeloos programma. \ud83d\udc4e",OFF,,,,
1619,@USER @USER Hoe weet je dat zo zeker?,NOT,NOT,NOT,NOT,NOT
1620,"@USER Super interessante afwegingen! Qua :battery: - technologie maken ze flinke stappen en staan er wat baanbrekende technieken op de rol, dus geef het nog 5 jaar ofzo. Als kilometervreter, vind ik 'range anxiety' vooral een ding. Laatst een dag in een E-Golf gereden, binnen 2km was het al :hot_face:",NOT,NOT,NOT,NOT,NOT
1621,@USER @USER Thanks Bep. Gaan we er van proberen te maken.. Geldt voor jouw ook hè. :thumbs_up: :sunflower: ,NOT,NOT,NOT,NOT,NOT
1622,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Holy shit. Mensen zijn boos :face_screaming_in_fear: URL,OFF,OFF,OFF,OFF,OFF
1623,@USER @USER @USER Vind het heel dom als mensen altijd denken dat blank en donkere mensen haten .ikzelf heb dam in Thailand Texas Rusland Australië Indonesië want heb negers in men familie en klikkers en vrienden uit Marokko en Turkye. Schuld is silvana simons en die zwarten piet hater,OFF,OFF,OFF,OFF,OFF
1624,Amerika is gemaakt door Shaytan kan niet anders :man_shrugging_medium-dark_skin_tone: ,NOT,NOT,NOT,NOT,NOT
1625,Mensen uit me stad zouden t raar vinden dat ik nog op twitter zit,NOT,NOT,NOT,NOT,NOT
1626,@USER Je komt vanzelf aan de beurt. De wereld wilt gewoon geen anarchie. We zijn te ver gekomen om het op te geven. Wie niet horen wilt moet maar voelen.,OFF,,,,
1627,Nog even over dat toilet gesproken. Dat betekend dus dat ik al zeker 1 maand geen visite heb gehad als het niet langer is :thinking_face:,NOT,NOT,NOT,NOT,NOT
1628,"@USER @USER @USER Die sporters kunnen dan vervolgens weer mensen uit de risicogroep besmetten. Mensen die in de risicogroep vallen kunnen niet jaren binnen blijven zitten. Ze hebben vaak ook gezinsleden, een baan of volgen een opleiding of moeten naar de dokter of het ziekenhuis.",NOT,NOT,NOT,NOT,NOT
1629,"Hoppa, daarmee meteen hun geldstromen geblokkeerd. Ik vind hem de held van deze eeuw",NOT,NOT,NOT,NOT,NOT
1630,In het Huis van de Arabieren een tentoonstelling over uitvindingen van islamieten en de zgn mohammedaanse ontdekker van Amerika.,NOT,NOT,NOT,NOT,OFF
1631,NIEUW! VANAVOND BARCELONA – LIVERPOOL! Win 50.000 CASH met je GRATIS voorspelling!! URL,NOT,NOT,NOT,NOT,NOT
1632,Nieuwe #vacature op WerkHaarlem.nl: Fuel Operator Amsterdam URL,NOT,NOT,NOT,NOT,NOT
1633,"Wij dwaalden allen als schapen, wij keerden ons een iegelijk naar zijn weg; doch de HEERE heeft onzer … —Jesaja 53:6 URL",NOT,NOT,NOT,NOT,NOT
1634,"Andere dingen vandaag, al 24-uur geen TV #kpnstoring, benieuwd naar wanneer weer wel @USER",OFF,OFF,NOT,NOT,OFF
1635,@USER Was niet hardvochtig bedoeld. Maar als het over kinderen gaat ........,NOT,NOT,NOT,NOT,NOT
1636,@USER @USER LOL... Per miljoen inwoners minder doden dan NL. Maar Rutte zou goed bezig zijn en hij slecht? Triest ventje.,OFF,,,,
1637,Zonder Trump was dit niet mogelijk geweest! #dombo #links #NSB Kijk een vergadering met Elon en Trump..... duhhh Trump word opnieuw president :red_heart_selector: URL,OFF,,,,
1638,@USER Ons Frenske is een echte socialist met een jaarinkomen van €363.800 .... zooooo #PvdA,OFF,OFF,NOT,OFF,NOT
1639,Hoe komt het dat zo'n groot deel van de mensen nog steeds geregeld een sigaret opsteekt? URL,NOT,NOT,NOT,NOT,OFF
1640,@USER @USER @USER Geld toevertrouwen aan zorgmensen is ook nogal de kat op ‘t spek binden.,OFF,NOT,NOT,OFF,OFF
1641,"Moet daar het hele korps voor uittrekken , voor 1 rat wat een angsthazen , gewoon 1 gericht schot en van de week komt de vuilwagen hem halen !",OFF,,,,
1642,"Omdat je met like-minded mensen in een BeursBulletin community wilt zitten om de beste tips, buitenkansen, verborgen parels en nog veel meer te delen. URL",NOT,NOT,NOT,NOT,NOT
1643,"De 'vluchtelingenstroom' die te voet door Europese dorpen trekt, lijkt verdacht veel op een islamitische kruistocht. #kominverzet",OFF,OFF,NOT,NOT,OFF
1644,Geval van te weinig dossierkennis inzake Groningen bij #Rutte? #penj of gewoon geval van te weinig interesse voor Groningen? #Gas #Geld,OFF,NOT,NOT,OFF,OFF
1645,@USER @USER @USER Discriminatie op basis van politieke voorkeur. Thats how the lefties roll.,OFF,OFF,NOT,OFF,OFF
1646,@USER *zeker,NOT,NOT,NOT,NOT,NOT
1647,@USER @USER wil toch geen mens!,NOT,NOT,NOT,NOT,NOT
1648,@USER en dit is een vastgemaakte tiet. URL,NOT,OFF,NOT,NOT,NOT
1649,@USER Hautain smerig lachje inderdaad. Zou er absoluut geen 2ehands auto van kopen.,OFF,OFF,NOT,OFF,OFF
1650,#HubertBruls vond 't 'n duivels dilemma. Lulkoek. Ogen en oren goed openhebbend als #Burgemeester zal hij best geweten hebben dat #Halsema's partij #GroenLinks vooraf sympatisanten opriep naar 020 te komen. Dan kon je dit dus zien zien aankomen. Nogmaals: Lulkoek van die Bruls.,OFF,,,,
1651,Tijdens zonnig pinksterweekend geen extra maatregelen in drukke gebieden URL,OFF,OFF,NOT,OFF,OFF
1652,@USER U doelt op een explosie aan erelonen voor juridische specialisten in deze warboel?,NOT,NOT,NOT,NOT,NOT
1653,"Het \u2018redelijke midden\u2019 spelen en nog onzin uitkramen als \u2018bereidheid om Zwarte Piet aan te passen is allang getoond, bewustwordingsproces is volop gaande\u2019, dat proces hebben we NIET aan jou te danken, muts, zoveel is duidelijk. #zwartepietisracisme",OFF,,,,
1654,Hahahah dat denken heel veel mensen dus van zwitsal en kneipp ook... :winking_face_with_tongue: URL,NOT,NOT,NOT,NOT,NOT
1655,@USER Dank je! Denk dat de dijkgraaf in het begin van deze periode inderdaad gaat stoppen.,NOT,NOT,NOT,NOT,NOT
1656,@USER @USER @USER @USER @USER @USER Enjoy! Kan er helaas niet bij zijn maar volgende keer zeker!,NOT,NOT,NOT,NOT,NOT
1657,@USER Ja maar ik zeg daarom toch ook expliciet idk wat ze achter de schermen doen? Ik praat gwn over social media gebruik ik blame toch niemand of ze te veel of te weinig doen. Ik zeg letterlijk alleen dat je veel mensen zou kunnen bereiken en dat ik Cardi B hard vind,NOT,NOT,NOT,NOT,NOT
1658,Samenwonen én samenwerken! URL,NOT,NOT,NOT,NOT,NOT
1659,"Je kon je klok erop gelijkstellen. Nu #dictator/#moordenaar Desi #Bouterse zijn macht, ondanks #stembusfraude, dreigt te verliezen, eist hij #hertelling van de #stemmen in #Suriname. URL",OFF,OFF,NOT,OFF,OFF
1660,@USER Die had hier heel erg boos om geworden.,NOT,NOT,NOT,NOT,NOT
1661,@USER @USER @USER Mensen informeer je even voordat je jezelf belachelijk maakt. In Italië ga je gewoon met 67 met pensioen en als je eerder wil gaan krijg je per jaar dat je eerder gaat je dat een fikse korting op je pensioen kosten.,NOT,NOT,NOT,OFF,NOT
1662,"@USER Wat n achterlijke dwaas. En t maar vreemd vinden, dat niemand meer respect voor ze heeft.",OFF,,,,
1663,De meeste 65-plussers hebben meer eigen vermogen en hebben maandelijks meer geld te besteden dan 20 jaar geleden URL,NOT,NOT,NOT,NOT,NOT
1664,@USER Glennis Grace heet eigenlijk Glenda Batta en is ook al tegen zwarte piet! Net zo naar mens als Sylvana #beau #glennisgrace,OFF,,,,
1665,aaa zo super trots op @USER !!!,NOT,NOT,NOT,NOT,NOT
1666,"Ik begrijp die rellen niet jung die plundere winkels enz terwihl die er niets me te maken hebben, plunder dan gwn een politie bureau kfch",NOT,NOT,NOT,OFF,NOT
1667,"vergeet de pensioenleeftijd, het geld naar griekenland, de afbraak van de medische en ouderenzorg niet #Rutte is asociale leugenaar URL",OFF,,,,
1668,@USER Zuur voor je dat je niet echt de credits krijgt van jou conclusies t.a.v. het ontstaan vd corona. En dus ook waar de oplossing ligt. Je had volkomen gelijk. Net in OP1 zit ook weer zo'n wijsneus. Hij geeft je niet helemaal gelijk. Kinderachtig en dom. Proficiat.,OFF,OFF,OFF,OFF,OFF
1669,@USER @USER graag in het nederlands kut turk,OFF,,,,
1670,@USER Alsof ik mijn vakantie überhaupt door het RIVM zou laten sturen..... Ik laat mijn auto ook niet keuren door n fietsenmaker. :winking_face: ,OFF,NOT,NOT,OFF,OFF
1671,Halsema! Mijn kleinzoon loopt net te schreeuwen door de kamer dat je een pothoer bent die schijt heeft aan de zorg en aan alle Nederlanders behalve de zwarte samenleving????? Dat jong is potverdorie slim geworden de afgelopen maanden maar hallo? Antwoord?? #halsemagate #halsema,OFF,,,,
1672,Hoe komen ze erbij . Moslims mogen niet verbrand worden e swineseswin en een lijk een lijk,OFF,,,,
1673,@USER @USER @USER Heeft ie je pincode ?,NOT,NOT,NOT,NOT,NOT
1674,@USER @USER Okay van mij ook maar met 30 volgers in het huidige klimaat ben ik toch voorzichtig geworden.,NOT,NOT,NOT,NOT,NOT
1675,"@USER Serieus, wat moet moet je met mensen met dat soort ideeën? Eeuwig in een dwangbuis kan toch ook niet.",OFF,OFF,NOT,OFF,OFF
1676,Dat moment dat je Twitter meldingen het niet meer doen... :face_with_rolling_eyes: ,NOT,NOT,NOT,NOT,NOT
1677,"@USER @USER @USER Ik weet wat rationalisme is, hoor.",NOT,NOT,NOT,NOT,NOT
1678,"@USER Halsema is hypocriet en heeft schijt aan alles buiten haar eigen linkse agenda. Halsema heeft schijt aan de 1 1/2 meter corona maatregelen, aan alle ondernemers, aan de zorg en aan de ouderen. Dit valt niet uit te leggen, Halsema zaait tweespalt in de samenleving, zo dom.",OFF,OFF,OFF,OFF,OFF
1679,"Waarom zijn vrouwen de beste #scouts in teams? :woman_detective_selector: Petru Curseu ""Iemand die minder kennis heeft leert zelf weliswaar veel van scouten, maar kan de kennis niet gericht overdragen."" Lees hier meer URL",NOT,NOT,NOT,NOT,NOT
1680,#MoslimsZoalsWij laat vooral zien dat de moslim net zo min bestaat als de Nederlander.,NOT,NOT,NOT,NOT,NOT
1681,"@USER Zo je hebt er verstand van! Nee alleen snel stukje meegepakt! Omwille van de tijd, net als op heenweg URL",NOT,NOT,NOT,NOT,NOT
1682,"@USER @USER @USER Systeem is niet racistisch, individueel racisme ja? Systeem werkt zelfs racisme tegen.",NOT,NOT,NOT,NOT,NOT
1683,"@USER @USER @USER @USER @USER @USER Ik heb het over boerenland, dat is de discussie toch?!",NOT,NOT,NOT,NOT,NOT
1684,Een nieuwe maand vol nieuwe kansen en mogelijkheden. Maak er wat moois van!,NOT,NOT,NOT,NOT,NOT
1685,Schandalig #regering Deze mensen zijn ook #stemgerechtigden dus dat zij al die jaren niet kunnen stemmen valt niet goed te praten URL,NOT,NOT,NOT,NOT,OFF
1686,"@USER @USER @USER Halsema is hypocriet en heeft schijt aan alles buiten haar eigen linkse agenda. Halsema heeft schijt aan de 1 1/2 meter corona maatregelen, aan alle ondernemers, aan de zorg en aan de ouderen. Dit valt niet uit te leggen, Halsema zaait tweespalt in de samenleving, zo dom.",OFF,,,,
1687,@USER zo'n mensen killen mij joeng,OFF,OFF,NOT,OFF,OFF
1688,"@USER @USER ik wens niet meer te betalen voor uiterst rechts volk, en al zeker niet voor zijn die een betaald politiek mandaat hebben .",NOT,NOT,NOT,NOT,OFF
1689,"@USER Hoe hypocriet kan je zijn, klagen over racisme maar niet eens de Belgen willen bedanken die zorgen dat er eten op jouw bord ligt :clown_face: :clown_face: ",OFF,NOT,NOT,OFF,OFF
1690,Nationale Molendag 2019: Ontmoet de molenaar! In Limburg leuke activiteiten voor jong en oud in en rond zo’n 4... URL,NOT,NOT,NOT,NOT,NOT
1691,Achterban @USER HELLUP! :face_with_medical_mask: Onderteken svp petitie: geen knooppunt A8/A9 naast kinderrijke woonwijk. URL,NOT,NOT,NOT,NOT,NOT
1692,"@USER @USER Hier, nou dat was er net na :rolling_on_the_floor_laughing: :winking_face: URL",NOT,NOT,NOT,NOT,NOT
1693,Nederland en andere 'Hanzelanden' verzetten zich tegen apart eurobudget URL,NOT,NOT,NOT,NOT,NOT
1694,RT SchagenKP: Op zoek naar leuke (schoen)-kadootjes? - #schoenkadootje #sinterklaas #schagen #zijpe #hatenkardpel #Koopplein.nl \u2026,NOT,NOT,NOT,NOT,NOT
1695,@USER En Jezus was een moslim !?!,NOT,NOT,NOT,NOT,NOT
1696,Patty Brard wil Caraïbisch eiland niet verlaten en Billy Bakker heeft nieuw liefje URL,NOT,NOT,NOT,NOT,NOT
1697,Bij het woord 'nazi's' kijkt Pauw naar Baudet. Toeval natuurlijk.#penj,NOT,NOT,NOT,NOT,OFF
1698,"@USER Op de basisschool werd ik de professor genoemd. Als kinderen vertelden wat ze gingen doen in het weekend werd bij mij ingevuld dat ik vast een boek zou gaan lezen. School deed niks. Op de middelbare ging ik in verzet, nooit meer goed gekomen.",NOT,NOT,NOT,NOT,NOT
1699,"Staat #olaftempelman niet toevallig om de kieslijst van die andere idioot, #baudet?",OFF,,,,
1700,Ik zie Rutte nog niet direct zij aan zij rug aan rug met de Russen vechten. Die loopt snel naar zijn mammie toe #pauw,OFF,,,,
1701,Ik check bijna wekelijks de status van mijn vlucht naar Amerika in september en hij is nog steeds niet geannuleerd. Dus wie weet? Ik wil in ieder geval met mijn tentje rondtrekken en wellicht dit mooie park weer bezoeken :smiling_face_with_heart-eyes: URL,NOT,NOT,NOT,NOT,NOT
1702,"@USER @USER Begrijpelijk, daarmee laat je zien dat je menselijk bent ipv dat politiek correcte emotieloze medemensen",OFF,NOT,NOT,OFF,OFF
1703,Het is door en door verrot op de ministerie's het is corupt van het koningshuis tot de ministers. Er is maar 1 oplossing de hele rotzooi er uit gooien. En compleet nieuwe koppen neer zetten. Zaterdag begind de opstand groots in denhaag 11 :00 tot 18: 00 hoe meer mensen hoe beter.,OFF,OFF,OFF,OFF,OFF
1704,"@USER Die zwarte doen precies wat ze vroeger ook deden en dat is blanke mensen vermoorden,nee dan ben je goed bezig zeg. Het moet van beide kanten komen,niet van 1 kant.",OFF,,,,
1705,@USER @USER Zo #kansloos dit soort mensen als #Halsema daarna zonder schaamte waarschuwen voor een 2e covid-19 golf. #HalsemaAftreden en ook de landelijk verantwoordelijke minister wegzenden. Hij zwicht voor non argumenten. Terloops wel 100 jongeren van het strand wegsturen. #COVID19,OFF,,,,
1706,@USER @USER @USER Lees de geschiedenis van rechts en haar standpunten. Vermeng het met een neoliberale sausje en je hebt nieuw rechtse ideologie. Van deze idelogie kan je niet stellen dat ze hoogwaardige is gezien ze economische boven humanistische waarden zet en antiverlichtingsdenken bevordert.,OFF,OFF,NOT,NOT,OFF
1707,"@USER mooi, kreeg ook letterlijk 2 min geleden een andere bestelling binnen! Succes op de site!",NOT,NOT,NOT,NOT,NOT
1708,@USER @USER @USER Bij de VVD word je de beste politicus genoemd als je het meest gegraaid gelogen en bedrogen hebt!!!!,OFF,OFF,OFF,OFF,OFF
1709,"@USER @USER @USER @USER Iets anders, wanneer word Asscher voor de rechter gesleept voor het willens en wetens aan de afgrond brengen van duizende mensen door de kinderopvangtoeslagenaffaire???",OFF,OFF,NOT,OFF,OFF
1710,"Ik ken weinig mensen die zo onbeschoft zijn als @USER 
 
En nog dom ook, maar dat kan hij dan weer niet helpen. 

Hulde voor de @USER dat ze het voor elkaar heeft gekregen om hem niet met de vlakke hand een corrigerende tik toe te dienen. 
 
URL",OFF,,,,
1711,@USER Geen idiote bewegingen in Amerika importeren in Nederland. De #BlackLivesMatter beweging is een racistische beweging die fascistische trekjes heeft.,OFF,,,,
1712,"Dat je niet alles weet, geen complot, niemand wil meer ellende, duh. Maar dit is bullshit. Eerst zegt Rutte dat we mogen vliegen, DAARNA zegt Van Dissel dat RIVM niet naar vliegen heeft gekeken, en NU zeg je \""is veilig\""? Fuck you @USER @USER @USER @USER #corona",OFF,,,,
1713,"Tenzij er reden voor is voor vandaag maar ff de laatste weergerelateerde tweet (denk ik) De maand juni, en de meteorologische zomer, start op Eelde met een zomerse dag met meer dan 25 graden. De 10de zomerse dag op rij vanaf 23 mei. URL",NOT,NOT,NOT,NOT,NOT
1714,"#geile hotbelinda69 Ik ben een leuke #spontane #geile meid, die graag met mezelf #speelt en #mannen tot een #hoogtepunt brengt....... #Hmmmmm kom je snel kijken? Leeftijd : 54 Woonplaats: #Amsterdam Ik spreek: NL URL",NOT,OFF,NOT,OFF,NOT
1715,Maar hoe gaat de belastingdienst die brief nou bezorgen bij die ouder die zelfmoord pleegde na onterecht als fraudeur te boek gesteld te zijn? Per vlieger?,OFF,,,,
1716,@USER Doet ze niets aan want het is links tuig daar voelt zij zich bij thuis,OFF,OFF,OFF,OFF,OFF
1717,@USER @USER De media fokt de boel op,OFF,OFF,NOT,OFF,OFF
1718,@USER goed voorbeeld doet volgen. Elke extremistische club verbieden. Ook deze links extremisten! @USER @USER @USER @USER @USER @USER iedereen die met deze foute gewelddadige groep wil samenwerken moet zich diep schamen!,OFF,,,,
1719,@USER klik maar op de link appie zolang ze geen geld vragen he kan echt geld verdiennen dan is hobby voorbij apoie hahaha,NOT,NOT,NOT,NOT,NOT
1720,@USER Dikke gebakken vlees bijna :zany_face: :zany_face: :zany_face: :hugging_face: :hugging_face: :face_with_tears_of_joy: :face_with_tears_of_joy: ,NOT,NOT,NOT,NOT,NOT
1721,@USER @USER Blijft een Marokkaan!,OFF,OFF,NOT,OFF,OFF
1722,BBL - Monteur elektrotechniek - Werken URL,NOT,NOT,NOT,NOT,NOT
1723,"@USER Het lijkt wel oorlogsgebied,die lui zijn niet wijs. Met slopen en branden bereik je ook niks.",OFF,,,,
1724,"sorry dat ik een slecht cijfer voor wiskunde heb , de koning had de juffrouw van z'n Facebook vrienden afgehaald",NOT,NOT,NOT,NOT,NOT
1725,@USER @USER Wat een #ego! Had de architect maar kunstenaar moeten worden. Je ontwerpen zijn niet heilig! #Laathetlos,OFF,NOT,OFF,NOT,OFF
1726,‘Nederland doet niets voor haar gevangenen in het buitenland 16-05-2018 URL,OFF,NOT,NOT,OFF,OFF
1727,"Dag 6/7 : #mylifeinpictures Ik ben uitgenodigd door @USER . De spelregels : geen mensen, geen woorden en elke dag iemand anders uitnodigen. Vandaag nodig ik uit @USER URL",NOT,NOT,NOT,NOT,NOT
1728,"sorry dat ik een slecht cijfer voor science heb , een alien had mijn schoonmoeder ontvoerd",NOT,NOT,NOT,NOT,NOT
1729,"@USER Hoe bedacht je het? Een uur later wordt de demonstratie in R'dam afgebroken. Hier blijkt maar weer uit hoever nexiteers af staan van de werkelijkheid, ze zien dingen die er niet zijn en hebben een waardeloze glazen bol. #nexit #AllLivesMatter #blm",OFF,,,,
1730,"I'm going to say this in my native language so sorry in advance Het is het absoluut minimum om niet racistisch te zijn, maar het zou de standaard moeten zijn dat je tegen racisme te zijn. Alles onder dat is alleen onszelf maar laten uitsterven. #BlackLivesMatter",NOT,NOT,NOT,NOT,NOT
1731,Niets zo veranderlijk in d'r planning als mijn kind van 18. Als er al sprake was van een planning. URL,NOT,NOT,NOT,OFF,NOT
1732,Gedurende de hele avond en nacht zijn jullie in veilige handen bij de professionals van het @USER URL,NOT,NOT,NOT,NOT,NOT
1733,@USER @USER @USER Terug sturen met touringcars met verwarde chauffeurs,NOT,OFF,NOT,NOT,NOT
1734,"@USER Ze kennen je niet eens,denk ik hoe kunnen ze je dan een boosdoener vinden,als ik zo'n vriendin had of wist dat ze zo iets uitspookte was de vriendschap gelijk over.",NOT,NOT,NOT,NOT,OFF
1735,"@USER @USER @USER Iets anders, wanneer word Asscher voor de rechter gesleept voor het willens en wetens aan de afgrond brengen van duizende mensen door de kinderopvangtoeslagenaffaire???",OFF,OFF,NOT,OFF,OFF
